Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
Letters to God,David Nixon,110,Robyn Lively,Michael Bolten,Christopher Schmidt,2848578,Drama Family,cancer faith hope letter prayer,3500000,2010,cancer faith hope letter prayer,DavidNixon RobynLively MichaelBolten ChristopherSchmidt Drama Family cancer faith hope letter prayer
Hobo with a Shotgun,Jason Eisener,86,Gregory Smith,Robb Wells,Molly Dunsworth,703002,Action Comedy Thriller,hobo pedophile rampage shotgun vigilante,3000000,2011,hobo pedophile rampage shotgun vigilante,JasonEisener GregorySmith RobbWells MollyDunsworth Action Comedy Thriller hobo pedophile rampage shotgun vigilante
Compadres,Enrique Begne,101,Kevin Pollak,Héctor Jiménez,Erick Elias,3105269,Action Comedy,,3000000,2016,,EnriqueBegne KevinPollak HéctorJiménez ErickElias Action Comedy 
Freeway,Matthew Bright,102,Bokeem Woodbine,Dan Hedaya,Robert Peters,0,Comedy Crime Drama Thriller,freeway nightmare police school trailer park,3000000,1996,freeway nightmare police school trailer park,MatthewBright BokeemWoodbine DanHedaya RobertPeters Comedy Crime Drama Thriller freeway nightmare police school trailer park
Love's Abiding Joy,Michael Landon Jr.,87,William Morgan Sheppard,Kevin Gage,Brianna Brown,252726,Drama Family Western,19th century faith mayor ranch sheriff,3000000,2006,19th century faith mayor ranch sheriff,MichaelLandonJr. WilliamMorganSheppard KevinGage BriannaBrown Drama Family Western 19th century faith mayor ranch sheriff
Fish Tank,Andrea Arnold,123,Michael Fassbender,Harry Treadaway,Jason Maza,373060,Drama,15 year old dancing essex little sister suburb,3000000,2009,15 year old dancing essex little sister suburb,AndreaArnold MichaelFassbender HarryTreadaway JasonMaza Drama 15 year old dancing essex little sister suburb
Damsels in Distress,Whit Stillman,99,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,1007535,Comedy Drama Romance,college college campus dance craze depression fraternity,0,2011,college campus dance craze depression fraternity,WhitStillman GretaGerwig MegalynEchikunwoke ZachWoods Comedy Drama Romance college campus dance craze depression fraternity
Creature,,173,Craig T. Nelson,Colm Feore,Megalyn Echikunwoke,0,Horror Sci-Fi Thriller,author cameo family relationships island monster two part tv movie,3000000,2011,author cameo family relationship island monster two part tv movie, CraigT.Nelson ColmFeore MegalynEchikunwoke Horror Sci-Fi Thriller author cameo family relationship island monster two part tv movie
Bachelorette,Leslye Headland,87,Kirsten Dunst,Adam Scott,Andrew Rannells,418268,Comedy Romance,bachelorette party drug use high school overdose wedding dress,3000000,2012,bachelorette party drug use high school overdose wedding dress,LeslyeHeadland KirstenDunst AdamScott AndrewRannells Comedy Romance bachelorette party drug use high school overdose wedding dress
BrainDead,,44,Danny Pino,Megan Hilty,Zach Grenier,0,Comedy Drama Horror Sci-Fi Thriller,brains exploding head politician swarm behavior washington d.c.,0,0,brain exploding head politician swarm behavior washington c, DannyPino MeganHilty ZachGrenier Comedy Drama Horror Sci-Fi Thriller brain exploding head politician swarm behavior washington c
Brave New Girl,Bobby Roth,120,Virginia Madsen,Aaron Ashmore,Lindsey Haun,0,Drama Family Music,based on a book based on a novel made for tv movie music school support,0,2004,based book novel made tv movie music school support,BobbyRoth VirginiaMadsen AaronAshmore LindseyHaun Drama Family Music based book novel made tv movie music school support
Tim and Eric's Billion Dollar Movie,Tim Heidecker,93,Michael Gross,William Atherton,Bob Ross,200803,Comedy,film in film man with glasses reference to steven spielberg self referential shopping mall,3000000,2012,film man glass reference steven spielberg self referential shopping mall,TimHeidecker MichaelGross WilliamAtherton BobRoss Comedy film man glass reference steven spielberg self referential shopping mall
The Grand,,60,Susan Hampshire,Amanda Mealing,Tim Healy,0,Drama,concierge front desk hotel maid prostitute,5400000,2007,concierge front desk hotel maid prostitute, SusanHampshire AmandaMealing TimHealy Drama concierge front desk hotel maid prostitute
Summer Storm,Marco Kreuzpaintner,98,Alicja Bachleda,Kostja Ullmann,Robert Stadlober,95016,Comedy Drama Romance Sport,friend friendship rowing storm summer camp,2700000,2004,friend friendship rowing storm summer camp,MarcoKreuzpaintner AlicjaBachleda KostjaUllmann RobertStadlober Comedy Drama Romance Sport friend friendship rowing storm summer camp
Fort McCoy,Kate Connor,100,Johnny Pacar,Eric Stoltz,Brendan Fehr,73678,Drama History War,,3000000,2011,,KateConnor JohnnyPacar EricStoltz BrendanFehr Drama History War 
Chain Letter,Deon Taylor,88,Matt Cohen,Betsy Russell,Noah Segan,143000,Horror Thriller,blood splatter chain murder mysterious killer warning,5000000,2009,blood splatter chain murder mysterious killer warning,DeonTaylor MattCohen BetsyRussell NoahSegan Horror Thriller blood splatter chain murder mysterious killer warning
Just Looking,Jason Alexander,97,Gretchen Mol,Patti LuPone,Peter Onorati,39852,Comedy Drama,1955 chevrolet nurse peeping tom reference to brooklyn dodgers spying,3000000,1999,1955 chevrolet nurse peeping tom reference brooklyn dodger spying,JasonAlexander GretchenMol PattiLuPone PeterOnorati Comedy Drama 1955 chevrolet nurse peeping tom reference brooklyn dodger spying
The Divide,Xavier Gens,122,Michael Biehn,Lauren German,Rosanna Arquette,22000,Drama Sci-Fi Thriller,doggystyle sex rough sex sodomy torture violent sex,3000000,2011,doggystyle sex rough sodomy torture violent,XavierGens MichaelBiehn LaurenGerman RosannaArquette Drama Sci-Fi Thriller doggystyle sex rough sodomy torture violent
The Eclipse,Conor McPherson,86,Aidan Quinn,Iben Hjejle,Jim Norton,128937,Drama Horror Romance,ghost irish kissing novelist widower,0,2009,ghost irish kissing novelist widower,ConorMcPherson AidanQuinn IbenHjejle JimNorton Drama Horror Romance ghost irish kissing novelist widower
Demonic,Will Canon,83,Frank Grillo,Scott Mechlowicz,Aaron Yoo,3387000,Horror Thriller,death detective house missing supernatural,3000000,2015,death detective house missing supernatural,WillCanon FrankGrillo ScottMechlowicz AaronYoo Horror Thriller death detective house missing supernatural
My Big Fat Independent Movie,Philip Zlotorynski,80,Neil Hopkins,Darren Keefe Reiher,David Douglas,0,Comedy,independent film spoof,3000000,2005,independent film spoof,PhilipZlotorynski NeilHopkins DarrenKeefeReiher DavidDouglas Comedy independent film spoof
The Deported,Lance Kawas,90,Taylor Negron,Michael Rapaport,Talia Shire,0,Comedy,actor italian american mexico orphan usa,3000000,2009,actor italian american mexico orphan usa,LanceKawas TaylorNegron MichaelRapaport TaliaShire Comedy actor italian american mexico orphan usa
Tanner Hall,Francesca Gregorini,96,Tom Everett Scott,Amy Sedaris,Chris Kattan,5005,Drama,boarding school coming of age female friendship lesbian new england,3000000,2009,boarding school coming age female friendship lesbian new england,FrancescaGregorini TomEverettScott AmySedaris ChrisKattan Drama boarding school coming age female friendship lesbian new england
Open Road,Marcio Garcia,85,John Savage,Kristi Clainos,Emily Nelson,0,Action Drama Thriller,dealer drugs killer police,3000000,2013,dealer drug killer police,MarcioGarcia JohnSavage KristiClainos EmilyNelson Action Drama Thriller dealer drug killer police
They Came Together,David Wain,83,Christopher Meloni,Amy Poehler,Jack McBrayer,0,Comedy,halloween party new york city racism romcom spoof,0,2014,halloween party new york city racism romcom spoof,DavidWain ChristopherMeloni AmyPoehler JackMcBrayer Comedy halloween party new york city racism romcom spoof
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Craig Moss,80,French Stewart,Ashley Martin,Olivia Alexander,0,Comedy,exorcism female nudity haunted house lesbian kiss masturbation,3000000,2013,exorcism female nudity haunted house lesbian kiss masturbation,CraigMoss FrenchStewart AshleyMartin OliviaAlexander Comedy exorcism female nudity haunted house lesbian kiss masturbation
Never Back Down 2: The Beatdown,Michael Jai White,90,Michael Jai White,Alex Meraz,Jillian Murray,0,Action Drama Sport,bad cop college second part sequel wrestler,3000000,2011,bad cop college second part sequel wrestler,MichaelJaiWhite MichaelJaiWhite AlexMeraz JillianMurray Action Drama Sport bad cop college second part sequel wrestler
Point Blank,John Boorman,92,Lee Marvin,Angie Dickinson,Carroll O'Connor,3200000,Crime Thriller,criminal gangster money revenge violence,3000000,1967,criminal gangster money revenge violence,JohnBoorman LeeMarvin AngieDickinson CarrollO'Connor Crime Thriller criminal gangster money revenge violence
Four Single Fathers,Paolo Monico,100,Stephanie Szostak,Sarah Rafferty,Salvatore Santone,0,Comedy,number in title single father,3000000,2009,number title single father,PaoloMonico StephanieSzostak SarahRafferty SalvatoreSantone Comedy number title single father
Enter the Dangerous Mind,Youssef Delara,88,Noel Gugliemi,David Bianchi,Jason Priestley,0,Thriller,dubstep tied feet,800000,2013,dubstep tied foot,YoussefDelara NoelGugliemi DavidBianchi JasonPriestley Thriller dubstep tied foot
Something Wicked,Darin Scott,95,Julian Morris,Shantel VanSanten,John Robinson,0,Drama Horror Mystery Thriller,eugene oregon independent film obsession,3000000,2014,eugene oregon independent film obsession,DarinScott JulianMorris ShantelVanSanten JohnRobinson Drama Horror Mystery Thriller eugene oregon independent film obsession
AWOL-72,Christian Sesma,82,Bokeem Woodbine,Brooke Newton,Brett Wagner,0,Thriller,police officer police officer taken hostage,3000000,2015,police officer taken hostage,ChristianSesma BokeemWoodbine BrookeNewton BrettWagner Thriller police officer taken hostage
Iguana,Monte Hellman,97,Everett McGill,Jack Taylor,Fabio Testi,0,Adventure Crime Drama,19th century based on novel disfigurement harpooner independent film,3000000,1988,19th century based novel disfigurement harpooner independent film,MonteHellman EverettMcGill JackTaylor FabioTesti Adventure Crime Drama 19th century based novel disfigurement harpooner independent film
Chicago Overcoat,Brian Caunter,94,Mike Starr,Stacy Keach,Frank Vincent,0,Action Adventure Crime Drama,detective killer police shootout thong,3000000,2009,detective killer police shootout thong,BrianCaunter MikeStarr StacyKeach FrankVincent Action Adventure Crime Drama detective killer police shootout thong
Barry Munday,Chris D'Arienzo,95,Judy Greer,Cybill Shepherd,Shea Whigham,0,Comedy Drama Romance,doctor letter paternity sex testicles,0,2010,doctor letter paternity sex testicle,ChrisD'Arienzo JudyGreer CybillShepherd SheaWhigham Comedy Drama Romance doctor letter paternity sex testicle
Central Station,Walter Salles,113,Fernanda Montenegro,Matheus Nachtergaele,Othon Bastos,5595428,Drama,brazil letter rio de janeiro brazil sertao teacher,2900000,1998,brazil letter rio de janeiro sertao teacher,WalterSalles FernandaMontenegro MatheusNachtergaele OthonBastos Drama brazil letter rio de janeiro sertao teacher
Pocketful of Miracles,Frank Capra,136,Ann-Margret,Glenn Ford,Thomas Mitchell,5000000,Comedy Drama,1930s apple dude luck new york city,2900000,1961,1930s apple dude luck new york city,FrankCapra Ann-Margret GlennFord ThomasMitchell Comedy Drama 1930s apple dude luck new york city
Close Range,Isaac Florentine,80,Anthony L. Fernandez,Nick Chinlund,Scott Evans,0,Action Crime,corrupt sheriff drug cartel flash drive niece sheriff,3000000,2015,corrupt sheriff drug cartel flash drive niece,IsaacFlorentine AnthonyL.Fernandez NickChinlund ScottEvans Action Crime corrupt sheriff drug cartel flash drive niece
Boynton Beach Club,Susan Seidelman,105,Dyan Cannon,Michael Nouri,Brenda Vaccaro,3123749,Comedy Romance,title spoken by character,1500000,2005,title spoken character,SusanSeidelman DyanCannon MichaelNouri BrendaVaccaro Comedy Romance title spoken character
Amnesiac,Michael Polish,90,Olivia Rose Keegan,Patrick Bauchau,Mia Barron,0,Drama Horror Mystery Thriller,child in peril electroshock therapy memory memory loss teenage girl,3000000,2014,child peril electroshock therapy memory loss teenage girl,MichaelPolish OliviaRoseKeegan PatrickBauchau MiaBarron Drama Horror Mystery Thriller child peril electroshock therapy memory loss teenage girl
Freakonomics,Heidi Ewing,93,Greg Crowe,James Ransone,Tempestt Bledsoe,100675,Documentary,cheating economics experiment human nature sumo wrestling,3000000,2010,cheating economics experiment human nature sumo wrestling,HeidiEwing GregCrowe JamesRansone TempesttBledsoe Documentary cheating economics experiment human nature sumo wrestling
High Tension,Alexandre Aja,89,Cécile De France,Maïwenn,Oana Pellea,3645438,Horror,car chase plot twist police van rear ending a car slasher,2200000,2003,car chase plot twist police van rear ending slasher,AlexandreAja CécileDeFrance Maïwenn OanaPellea Horror car chase plot twist police van rear ending slasher
Griff the Invisible,Leon Ford,90,Maeve Dermody,Patrick Brammall,Kelly Paterniti,0,Comedy Drama Romance Sci-Fi,alter ego awkwardness office scientist superhero,2902660,2010,alter ego awkwardness office scientist superhero,LeonFord MaeveDermody PatrickBrammall KellyPaterniti Comedy Drama Romance Sci-Fi alter ego awkwardness office scientist superhero
Unnatural,Hank Braxtan,89,Q'orianka Kilcher,Gregory Cruz,Allegra Carpenter,0,Action Horror Thriller,alaska climate change global polar bear scientific,3000000,2015,alaska climate change global polar bear scientific,HankBraxtan Q'oriankaKilcher GregoryCruz AllegraCarpenter Action Horror Thriller alaska climate change global polar bear scientific
Hustle & Flow,Craig Brewer,116,Isaac Hayes,Paula Jai Parker,Elise Neal,22201636,Crime Drama Music,baby friend hip hop pimp stripper,8000000,2005,baby friend hip hop pimp stripper,CraigBrewer IsaacHayes PaulaJaiParker EliseNeal Crime Drama Music baby friend hip hop pimp stripper
Some Like It Hot,Billy Wilder,120,Nehemiah Persoff,Joe E. Brown,George Raft,25000000,Comedy Music Romance,all girl band band cross dressing musician yacht,2883848,1959,girl band cross dressing musician yacht,BillyWilder NehemiahPersoff JoeE.Brown GeorgeRaft Comedy Music Romance girl band cross dressing musician yacht
Friday the 13th Part VII: The New Blood,John Carl Buechler,88,Kane Hodder,Terry Kiser,William Butler,19170001,Horror,death jason voorhees massacre slaughter telekinesis,2800000,1988,death jason voorhees massacre slaughter telekinesis,JohnCarlBuechler KaneHodder TerryKiser WilliamButler Horror death jason voorhees massacre slaughter telekinesis
The Wizard of Oz,Victor Fleming,102,Margaret Hamilton,Terry,Billie Burke,22202612,Adventure Family Fantasy Musical,evil witch tornado witch wizard wizard of oz,2800000,1939,evil witch tornado wizard oz,VictorFleming MargaretHamilton Terry BillieBurke Adventure Family Fantasy Musical evil witch tornado wizard oz
Young Frankenstein,Mel Brooks,106,Madeline Kahn,Peter Boyle,Teri Garr,86300000,Comedy,assistant castle experiment frankenstein's monster scientist,2800000,1974,assistant castle experiment frankenstein monster scientist,MelBrooks MadelineKahn PeterBoyle TeriGarr Comedy assistant castle experiment frankenstein monster scientist
Diary of the Dead,George A. Romero,95,Megan Park,Shawn Roberts,Joe Dinicol,952620,Horror,barn film student hospital mummy video camera,2000000,2007,barn film student hospital mummy video camera,GeorgeA.Romero MeganPark ShawnRoberts JoeDinicol Horror barn film student hospital mummy video camera
Lage Raho Munna Bhai,Rajkumar Hirani,144,Vidya Balan,Sanjay Dutt,Jimmy Shergill,0,Comedy Drama Romance,love professor of history radio satyagraha unscrupulous builder,120000000,2006,love professor history radio satyagraha unscrupulous builder,RajkumarHirani VidyaBalan SanjayDutt JimmyShergill Comedy Drama Romance love professor history radio satyagraha unscrupulous builder
Ulee's Gold,Victor Nunez,113,Peter Fonda,Patricia Richardson,Vanessa Zima,9054736,Drama,beekeeper bound and gagged dysfunctional family man with glasses tied to a chair,2700000,1997,beekeeper bound gagged dysfunctional family man glass tied chair,VictorNunez PeterFonda PatriciaRichardson VanessaZima Drama beekeeper bound gagged dysfunctional family man glass tied chair
The Black Stallion,Carroll Ballard,118,Teri Garr,Kelly Reno,Hoyt Axton,37799643,Adventure Family Sport,black horse boy horse relationship horse rescued by a horse training,2700000,1979,black horse boy relationship rescued training,CarrollBallard TeriGarr KellyReno HoytAxton Adventure Family Sport black horse boy relationship rescued training
Sardaar Ji,Rohit Jugraj,141,Bhavkhandan Singh Rakhra,Neeru Bajwa,Diljit Dosanjh,0,Romance,,3000000,2015,,RohitJugraj BhavkhandanSinghRakhra NeeruBajwa DiljitDosanjh Romance 
Journey to Saturn,Thorbjørn Christoffersen,90,Iben Hjejle,Frank Hvam,Casper Christensen,0,Action Adventure Animation Comedy Sci-Fi,crew cult film denmark earth wristwatch,0,2008,crew cult film denmark earth wristwatch,ThorbjørnChristoffersen IbenHjejle FrankHvam CasperChristensen Action Adventure Animation Comedy Sci-Fi crew cult film denmark earth wristwatch
Donovan's Reef,John Ford,109,Lee Marvin,Cesar Romero,Jack Warden,6600000,Adventure Comedy Romance,falling into water medical doctor priest roof leak swimming in the ocean,2686585,1963,falling water medical doctor priest roof leak swimming ocean,JohnFord LeeMarvin CesarRomero JackWarden Adventure Comedy Romance falling water medical doctor priest roof leak swimming ocean
The Dress,Alex van Warmerdam,95,Rijk de Gooyer,Ariane Schluter,Henri Garcin,0,Comedy Drama,bare breasts bra panties topless female nudity underwear,2650000,1996,bare breast bra panty topless female nudity underwear,AlexvanWarmerdam RijkdeGooyer ArianeSchluter HenriGarcin Comedy Drama bare breast bra panty topless female nudity underwear
A Guy Named Joe,Victor Fleming,122,Spencer Tracy,Esther Williams,Irene Dunne,5363000,Drama Fantasy Romance War,heaven pilot teacher training world war two,2627000,1943,heaven pilot teacher training world war two,VictorFleming SpencerTracy EstherWilliams IreneDunne Drama Fantasy Romance War heaven pilot teacher training world war two
Blazing Saddles,Mel Brooks,93,Madeline Kahn,David Huddleston,Harvey Korman,119500000,Comedy Western,railroad reference to douglas fairbanks reference to jesse owens reference to randolph scott year 1874,2600000,1974,railroad reference douglas fairbanks jesse owen randolph scott year 1874,MelBrooks MadelineKahn DavidHuddleston HarveyKorman Comedy Western railroad reference douglas fairbanks jesse owen randolph scott year 1874
Friday the 13th: The Final Chapter,Joseph Zito,97,Judie Aronson,Tom Everett,Kimberly Beck,32600000,Horror Thriller,friday the thirteenth hockey mask jason voorhees morgue slasher,1800000,1984,friday thirteenth hockey mask jason voorhees morgue slasher,JosephZito JudieAronson TomEverett KimberlyBeck Horror Thriller friday thirteenth hockey mask jason voorhees morgue slasher
Ida,Pawel Pawlikowski,82,Joanna Kulig,Agata Trzebuchowska,Agata Kulesza,3826455,Drama,convent jew jewish nun poland,2159280,2013,convent jew jewish nun poland,PawelPawlikowski JoannaKulig AgataTrzebuchowska AgataKulesza Drama convent jew jewish nun poland
Maurice,James Ivory,140,Rupert Graves,Denholm Elliott,Simon Callow,3130592,Drama Romance,homosexuality love male full frontal nudity male rear nudity one word title,2600000,1987,homosexuality love male full frontal nudity rear one word title,JamesIvory RupertGraves DenholmElliott SimonCallow Drama Romance homosexuality love male full frontal nudity rear one word title
Beer League,Frank Sebastiano,86,Joe Lo Truglio,Laurie Metcalf,Seymour Cassel,475000,Comedy Sport,baseball baseball movie beer slacker softball,2800000,2006,baseball movie beer slacker softball,FrankSebastiano JoeLoTruglio LaurieMetcalf SeymourCassel Comedy Sport baseball movie beer slacker softball
Riding Giants,Stacy Peralta,105,Gerry Lopez,Gabrielle Reece,Laird John Hamilton,2276368,Documentary History Sport,beach surfing surfing contest two word title wave,2600000,2004,beach surfing contest two word title wave,StacyPeralta GerryLopez GabrielleReece LairdJohnHamilton Documentary History Sport beach surfing contest two word title wave
Timecrimes,Nacho Vigalondo,66,Karra Elejalde,Nacho Vigalondo,Bárbara Goenaga,38108,Horror Mystery Sci-Fi Thriller,binoculars hitchcockian scissors time machine woods,2600000,2007,binoculars hitchcockian scissors time machine wood,NachoVigalondo KarraElejalde NachoVigalondo BárbaraGoenaga Horror Mystery Sci-Fi Thriller binoculars hitchcockian scissors time machine wood
Silver Medallist,Hao Ning,99,Jack Kao,Bo Huang,Zheng Xu,0,Action Adventure Comedy,color in title,15000000,2009,color title,HaoNing JackKao BoHuang ZhengXu Action Adventure Comedy color title
Timber Falls,Tony Giglio,100,Brianna Brown,Nick Searcy,Beth Broderick,0,Horror Thriller,hiking voyeur voyeurism west virginia woods,2600000,2007,hiking voyeur voyeurism west virginia wood,TonyGiglio BriannaBrown NickSearcy BethBroderick Horror Thriller hiking voyeur voyeurism west virginia wood
Singin' in the Rain,Stanley Donen,103,Rita Moreno,Debbie Reynolds,Cyd Charisse,7200000,Comedy Musical Romance,actress chorus girl fan friend love,2540800,1952,actress chorus girl fan friend love,StanleyDonen RitaMoreno DebbieReynolds CydCharisse Comedy Musical Romance actress chorus girl fan friend love
"Fat, Sick & Nearly Dead",Joe Cross,97,Joe Cross,Joel Fuhrman,Amy Badberg,0,Documentary,fat food health juice obese,2500000,2010,fat food health juice obese,JoeCross JoeCross JoelFuhrman AmyBadberg Documentary fat food health juice obese
A Haunted House,Michael Tiddes,86,Essence Atkins,Alanna Ubach,J.B. Smoove,40041683,Comedy Fantasy,hamburger parody priest psychic woman in a bikini,2500000,2013,hamburger parody priest psychic woman bikini,MichaelTiddes EssenceAtkins AlannaUbach J.B.Smoove Comedy Fantasy hamburger parody priest psychic woman bikini
2016: Obama's America,Dinesh D'Souza,87,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,33349949,Documentary,critically bashed partisan commentary political propoganda punctuation in title reenactment,2500000,2012,critically bashed partisan commentary political propoganda punctuation title reenactment,DineshD'Souza BarackObama ZackaryStevenGraham DineshD'Souza Documentary critically bashed partisan commentary political propoganda punctuation title reenactment
That Thing You Do!,Tom Hanks,149,Tom Hanks,Charlize Theron,Ethan Embry,25809813,Comedy Drama Music,band drummer jazz pennsylvania song,26000000,1996,band drummer jazz pennsylvania song,TomHanks TomHanks CharlizeTheron EthanEmbry Comedy Drama Music band drummer jazz pennsylvania song
Halloween III: Season of the Witch,Tommy Lee Wallace,98,Tom Atkins,Dan O'Herlihy,Nancy Kyes,14400000,Horror Mystery Sci-Fi,doctor factory halloween holiday horror stonehenge,2500000,1982,doctor factory halloween holiday horror stonehenge,TommyLeeWallace TomAtkins DanO'Herlihy NancyKyes Horror Mystery Sci-Fi doctor factory halloween holiday horror stonehenge
Escape from the Planet of the Apes,Don Taylor,98,Roddy McDowall,M. Emmet Walsh,Sal Mineo,12348905,Action Sci-Fi,ape fear future spacecraft spaceship,2500000,1971,ape fear future spacecraft spaceship,DonTaylor RoddyMcDowall M.EmmetWalsh SalMineo Action Sci-Fi ape fear future spacecraft spaceship
Hud,Martin Ritt,112,Patricia Neal,Melvyn Douglas,Whit Bissell,10000000,Drama,alcoholism forename as title rancher rodeo cowboy texas,2500000,1963,alcoholism forename title rancher rodeo cowboy texas,MartinRitt PatriciaNeal MelvynDouglas WhitBissell Drama alcoholism forename title rancher rodeo cowboy texas
Kevin Hart: Let Me Explain,Leslie Small,75,David Jason Perez,La'Princess Jackson,Dana Hanna,32230907,Comedy Documentary,lying montreal reference to twitter reference to youtube toronto,2500000,2013,lying montreal reference twitter youtube toronto,LeslieSmall DavidJasonPerez La'PrincessJackson DanaHanna Comedy Documentary lying montreal reference twitter youtube toronto
My Own Private Idaho,Gus Van Sant,104,Keanu Reeves,Udo Kier,Flea,6401336,Drama,friend hustler italy narcolepsy traveling,2500000,1991,friend hustler italy narcolepsy traveling,GusVanSant KeanuReeves UdoKier Flea Drama friend hustler italy narcolepsy traveling
Garden State,Zach Braff,102,Armando Riesco,Michael Weston,Jill Flint,26781723,Comedy Drama Romance,actor doctor drugs home pain,2500000,2004,actor doctor drug home pain,ZachBraff ArmandoRiesco MichaelWeston JillFlint Comedy Drama Romance actor doctor drug home pain
Before Sunrise,Richard Linklater,105,Hanno Pöschl,Hans Weingartner,Dominik Castell,5400000,Drama Romance,american conversations kiss love train,2500000,1995,american conversation kiss love train,RichardLinklater HannoPöschl HansWeingartner DominikCastell Drama Romance american conversation kiss love train
Sur le seuil,Éric Tessier,99,Patrick Huard,Michel Côté,Jean Pierre Bergeron,0,Action Drama Horror Thriller,canadian gothic hospital murder paranormal supernatural,3200000,2003,canadian gothic hospital murder paranormal supernatural,ÉricTessier PatrickHuard MichelCôté JeanPierreBergeron Action Drama Horror Thriller canadian gothic hospital murder paranormal supernatural
Jesus' Son,Alison Maclean,107,Billy Crudup,Samantha Morton,Mark Webber,1282084,Drama,hospital love mennonite shower song,2500000,1999,hospital love mennonite shower song,AlisonMaclean BillyCrudup SamanthaMorton MarkWebber Drama hospital love mennonite shower song
Saving Face,Alice Wu,96,Joan Chen,Ato Essandoh,Jessica Hecht,1186323,Comedy Drama Romance,chinese chinese american lesbian love mother daughter relationship surgeon,0,2004,chinese american lesbian love mother daughter relationship surgeon,AliceWu JoanChen AtoEssandoh JessicaHecht Comedy Drama Romance chinese american lesbian love mother daughter relationship surgeon
Brick Lane,Sarah Gavron,101,Satish Kaushik,Christopher Simpson,Tannishtha Chatterjee,1094998,Drama,arranged marriage bangladesh buckingham palace september 11 2001 title directed by female,0,2007,arranged marriage bangladesh buckingham palace september 11 2001 title directed female,SarahGavron SatishKaushik ChristopherSimpson TannishthaChatterjee Drama arranged marriage bangladesh buckingham palace september 11 2001 title directed female
Robot & Frank,Jake Schreier,89,Frank Langella,Joshua Ormond,Ana Gasteyer,3325638,Comedy Crime Drama Sci-Fi,burglary dementia near future robot thief,2500000,2012,burglary dementia near future robot thief,JakeSchreier FrankLangella JoshuaOrmond AnaGasteyer Comedy Crime Drama Sci-Fi burglary dementia near future robot thief
My Life Without Me,Isabel Coixet,106,Sarah Polley,Julian Richings,Amanda Plummer,395592,Drama Romance,cancer death doctor drinking love,2000000,2003,cancer death doctor drinking love,IsabelCoixet SarahPolley JulianRichings AmandaPlummer Drama Romance cancer death doctor drinking love
The Spectacular Now,James Ponsoldt,95,Shailene Woodley,Jennifer Jason Leigh,Dayo Okeniyi,6851969,Comedy Drama Romance,crying man high school high school senior men's clothing store party,2500000,2013,cry man high school senior men clothing store party,JamesPonsoldt ShaileneWoodley JenniferJasonLeigh DayoOkeniyi Comedy Drama Romance cry man high school senior men clothing store party
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Randall Miller,34,William Hurt,Elden Henson,Michael Bower,333658,Comedy Family Musical Romance Short,student film wonder years,34000,1990,student film wonder year,RandallMiller WilliamHurt EldenHenson MichaelBower Comedy Family Musical Romance Short student film wonder year
Religulous,Larry Charles,101,Bill Maher,Tal Bachman,Steve Burg,12995673,Comedy Documentary War,catholic christian jew muslim religion,2500000,2008,catholic christian jew muslim religion,LarryCharles BillMaher TalBachman SteveBurg Comedy Documentary War catholic christian jew muslim religion
Fuel,Joshua Tickell,112,Larry David,Sheryl Crow,George W. Bush,173783,Documentary,alternative energy energy fuel green oil,2500000,2008,alternative energy fuel green oil,JoshuaTickell LarryDavid SherylCrow GeorgeW.Bush Documentary alternative energy fuel green oil
Valley of the Heart's Delight,Tim Boxell,100,Bruce McGill,Diana Scarwid,Tom Bower,118666,Drama,,2500000,2006,,TimBoxell BruceMcGill DianaScarwid TomBower Drama 
Eye of the Dolphin,Michael D. Sellers,100,Katharine Ross,Carly Schroeder,George Harris,71904,Comedy Drama Family,dolphin island research tourist town,2500000,2006,dolphin island research tourist town,MichaelD.Sellers KatharineRoss CarlySchroeder GeorgeHarris Comedy Drama Family dolphin island research tourist town
8: The Mormon Proposition,Reed Cowan,80,Dustin Lance Black,Emily Pearson,Gavin Newsom,99851,Documentary,church marriage mormon mormon church proposition,2500000,2010,church marriage mormon proposition,ReedCowan DustinLanceBlack EmilyPearson GavinNewsom Documentary church marriage mormon proposition
The Other End of the Line,James Dodson,106,Larry Miller,Anupam Kher,Shriya Saran,115504,Comedy Drama Romance,birthday call center fiance hotel indian,14000000,2008,birthday call center fiance hotel indian,JamesDodson LarryMiller AnupamKher ShriyaSaran Comedy Drama Romance birthday call center fiance hotel indian
Anatomy,Stefan Ruzowitzky,103,Benno Fürmann,Rüdiger Vogler,Sebastian Blomberg,5725,Horror Thriller,dissection male pubic hair medical school medical student train,8400000,2000,dissection male pubic hair medical school student train,StefanRuzowitzky BennoFürmann RüdigerVogler SebastianBlomberg Horror Thriller dissection male pubic hair medical school student train
Sleep Dealer,Alex Rivera,90,Leonor Varela,Jacob Vargas,Tenoch Huerta,75727,Drama Romance Sci-Fi Thriller,computer future mexican immigrant network wilhelm scream,2500000,2008,computer future mexican immigrant network wilhelm scream,AlexRivera LeonorVarela JacobVargas TenochHuerta Drama Romance Sci-Fi Thriller computer future mexican immigrant network wilhelm scream
